Team,Climb,Park,Leave
1714,2,1,0
1716,3,1,5
1792,3,1,1
1806,4,0,5
2039,2,1,0
2062,3,0,1
2129,1,4,1
2169,1,0,3
2175,0,1,2
2227,2,0,0
2264,0,2,0
2472,1,1,5
2491,4,0,0
2501,3,1,2
2512,1,0,1
2574,4,0,3
2846,0,3,2
2855,2,0,0
2987,2,0,4
3023,2,0,2
3082,1,0,2
3100,2,0,0
3130,0,0,0
3206,5,1,0
3212,0,0,1
3297,4,1,0
3418,3,0,0
3883,3,0,1
4166,3,0,3
4182,0,0,2
4229,2,0,0
4230,1,1,1
4623,7,0,1
4703,1,2,1
4786,3,0,0
5232,4,0,1
5271,3,0,2
5275,5,0,2
5339,0,0,1
5720,3,0,1
5913,2,0,0
6044,3,0,5
6045,4,0,0
6047,3,0,4
6132,2,0,4
6147,3,1,0
6419,2,0,3
6574,0,0,0
6758,2,0,2
7273,0,0,0
7530,1,0,1
7619,2,0,1
8122,4,0,0
8700,5,0,5
8803,4,1,0