Team #,Auto NOTES A,AUTO NOTES S,Teleop NOTES A,Teleop NOTES S,Teleop NOTES T,Driver Rating,Human Player Rating,Coopertition Button,Bot Rating
2129,0,0,4,0,0,4,1,0,4
3883,0,1,0,4,0,4,1,0,4
2227,0,0,0,1,0,1,1,0,1
2855,0,4,3,3,0,4,3,1,4
6045,0,0,0,1,0,1,1,0,3
5913,0,0,0,1,0,3,3,0,1
3130,0,0,0,0,0,1,1,1,2
4786,0,0,0,2,0,1,1,0,2
5720,0,0,0,2,0,1,1,0,1
2129,0,2,0,0,0,2,2,0,2
6574,0,0,0,5,0,4,3,1,3
2512,0,0,0,0,0,1,1,0,2
2264,0,0,5,1,0,4,5,0,4
3023,0,1,0,0,0,2,4,0,1
4230,0,1,2,2,0,4,5,0,4
4229,0,0,0,0,0,1,1,0,2
3883,0,1,0,0,0,2,3,1,2
7619,0,0,1,0,0,2,1,0,2
4182,0,0,0,3,0,2,1,0,4
2264,0,1,2,4,0,3,3,0,3
6147,0,2,2,2,1,3,3,0,2
7273,0,0,0,0,0,1,2,0,2
2501,0,2,2,3,0,4,4,1,4
2987,0,0,0,3,0,2,2,0,3
2987,0,0,0,3,0,2,2,0,3
5913,0,1,0,1,0,3,1,0,1
2062,0,0,0,0,0,1,1,0,2
7273,0,0,0,0,0,1,1,0,1
2574,0,0,0,1,0,1,1,0,1
2491,0,1,0,2,0,3,1,0,4
8700,0,0,0,0,0,1,1,0,1
4703,0,0,0,4,0,3,2,0,3
1714,0,1,1,4,0,3,2,0,3
4703,0,0,0,2,0,3,2,0,4
2264,1,0,0,0,0,2,3,0,3
6147,3,0,2,2,1,4,4,1,5
2039,0,0,0,2,1,3,3,0,3
6147,0,0,0,5,1,4,5,0,4
5275,0,1,0,6,0,5,5,0,5
5271,0,0,0,0,0,1,2,0,2
3883,0,0,0,5,0,3,2,0,3
5913,0,0,0,0,0,1,1,0,1
8803,0,0,0,0,0,1,1,0,1
2472,0,0,2,0,0,2,3,0,2
6132,0,1,0,2,0,1,3,0,2
3100,0,0,0,1,0,3,3,0,2
6574,0,0,0,4,0,4,3,1,3
3206,0,0,0,3,0,3,3,0,2
2129,0,0,0,2,0,1,2,0,1
6758,0,1,2,3,0,4,4,1,5
6132,1,0,3,0,0,3,2,0,3
4786,0,1,5,4,0,3,2,0,4
6419,0,0,0,0,0,1,1,0,1
2855,0,0,1,0,0,1,3,0,1